,Nasion,Sella,Porion,Orbitale,Pterygoid,Basion,ANS,PNS,A_point,B_point,Protuberance_menti,Pogonion,Menton,Go_1_Corpuus left,Go_2_Ramus_down,Articulare,R3,R1,Maxilla_1_crown,Maxilla_1_root,Mandible_1_crown,Mandible_1_root,Maxilla_6_distal,Maxilla_6_root,Mandible_6_distal,Mandible_6_root,Glabella,Soft_tissue_naison,Dorsum_of_nose,pronasale,Colunella,Subnasalle,Soft_tissue_A_point,Labrale_superius,Upper_lip,Stms,Upper_embrasure,Lower_embrasure,Stmi,Lower_lip,Labial_Inferius,Soft_tissue_b_point,Soft_tissue_pogonion,Soft_tissue_Gnathion,Soft_tissue_Menton,Cervical_point
0,5.39,4.0,10.82,10.44,8.0,6.08,2.24,4.12,8.49,5.66,6.71,2.83,5.0,1.0,13.45,3.61,3.0,3.16,6.32,8.06,6.0,4.12,10.82,8.94,6.4,7.28,8.25,5.1,4.12,4.0,5.0,6.4,3.16,4.12,4.12,3.61,2.0,3.16,1.41,4.0,10.82,8.06,4.24,3.61,8.54,19.42
1,2.24,3.16,4.24,5.39,5.0,2.24,3.16,3.61,6.4,5.83,9.22,7.81,7.62,6.32,8.54,1.41,4.47,3.0,2.83,7.62,5.83,5.0,5.83,5.83,7.0,10.77,5.39,7.28,4.24,8.0,8.06,6.08,3.0,7.07,7.07,3.0,4.24,1.41,7.28,4.24,7.07,7.62,2.24,5.39,6.4,11.18
2,6.4,6.0,5.39,4.24,7.0,6.32,2.83,5.1,6.4,5.1,6.71,7.81,1.41,5.83,10.0,2.0,4.12,7.0,3.16,3.16,6.32,9.22,5.39,9.71,4.12,8.06,10.77,7.21,2.24,5.0,4.47,9.22,2.83,4.12,7.21,3.16,1.0,2.24,3.0,3.0,10.63,7.28,8.6,3.0,8.54,3.61
3,5.39,6.32,15.03,3.0,6.71,11.7,12.37,6.4,7.81,5.0,3.16,1.41,8.25,7.62,8.06,7.07,8.94,6.4,5.1,1.41,4.24,10.0,8.6,9.9,4.0,10.0,7.07,8.25,6.4,3.16,6.4,8.06,2.0,6.4,8.06,2.83,1.0,5.0,5.66,4.47,7.62,5.0,1.0,5.0,3.16,164.3
4,7.0,3.16,4.12,9.85,8.06,6.71,6.08,4.12,9.22,3.61,5.83,25.18,5.83,8.94,8.06,8.06,4.47,6.08,5.1,8.06,8.54,5.1,7.21,10.82,6.0,10.0,9.06,6.4,6.4,6.71,6.4,5.1,5.1,3.0,5.83,5.1,7.07,8.0,9.22,5.0,4.12,7.62,6.32,5.83,6.4,22.8
5,7.07,7.28,6.08,6.4,2.24,3.16,10.0,5.0,9.85,5.0,5.39,6.71,4.0,8.6,10.63,4.24,4.47,4.12,6.0,4.47,9.0,10.3,2.24,6.0,2.0,10.3,2.24,8.06,6.08,6.08,6.0,7.21,4.12,2.0,5.83,5.1,9.85,5.83,8.25,4.0,8.94,3.16,4.0,0.0,6.71,5.66
6,12.08,6.32,5.83,5.0,9.49,4.0,4.12,3.0,7.81,5.59,5.5,6.0,7.81,2.24,6.4,4.0,6.4,3.16,5.0,4.47,9.43,9.22,5.0,9.22,7.81,8.54,6.0,10.82,3.61,9.9,6.4,5.66,3.16,2.24,6.32,3.16,8.06,3.16,6.08,5.83,8.06,7.07,2.24,1.5,8.49,11.4
7,8.25,6.0,3.61,6.32,5.83,8.6,3.16,3.61,6.4,4.12,9.43,2.24,5.66,4.12,7.07,2.83,5.0,2.83,8.49,8.06,4.12,7.28,5.1,2.24,7.21,4.12,13.15,6.4,6.08,10.3,8.06,5.66,3.16,2.24,7.07,5.0,4.47,5.1,3.61,3.16,8.49,5.0,3.16,3.16,9.43,9.43
8,10.0,2.24,8.6,8.06,10.2,4.0,2.5,0.0,10.0,5.1,8.54,1.41,8.6,1.41,9.22,7.81,6.08,3.16,3.16,8.06,7.28,3.61,2.83,6.32,5.1,12.04,8.6,4.12,6.71,3.0,7.81,8.6,4.47,4.0,6.32,4.12,1.41,5.0,9.85,6.08,12.53,5.39,6.71,4.47,4.12,13.34
9,8.06,2.24,3.61,5.1,7.0,3.16,5.41,7.28,6.32,4.47,6.4,4.47,9.22,7.21,6.32,6.71,6.0,2.83,5.66,4.47,5.0,5.0,5.0,6.4,3.61,10.0,6.32,7.21,36.07,30.08,24.04,19.24,8.0,21.21,21.21,21.26,18.36,22.67,23.41,18.36,13.04,25.94,22.09,34.71,37.34,11.66
10,7.07,5.1,3.16,5.66,9.22,10.05,9.22,5.1,5.0,3.16,7.28,4.47,4.12,9.9,9.22,11.31,334.96,5.66,7.07,5.39,10.3,0.0,9.22,10.82,5.1,7.62,5.83,7.07,5.39,6.32,6.4,7.07,3.0,9.22,2.24,6.08,4.12,5.1,5.1,3.16,5.83,6.71,4.0,5.39,9.22,11.18
11,225.14,8.54,197.94,3.0,6.4,11.4,8.25,8.54,3.61,4.24,8.49,11.05,95.51,16.03,1.0,16.12,10.0,8.6,9.22,5.0,10.44,8.54,13.04,131.4,9.06,9.06,303.31,14.56,7.07,4.12,10.05,3.61,4.47,6.08,8.25,1.41,8.06,3.0,5.0,9.43,11.31,6.71,13.89,10.63,,
12,25.94,5.83,8.0,10.05,1.41,5.1,3.61,4.47,9.43,1.0,5.1,11.4,7.81,17.0,16.16,10.77,19.24,13.89,9.22,2.24,4.0,4.0,15.0,16.4,7.07,13.34,18.03,12.73,2.83,9.85,6.0,9.06,4.12,5.1,12.04,5.1,5.1,8.54,6.0,4.12,7.81,5.83,5.83,1.41,9.85,4.12
13,9.43,6.08,3.61,5.0,9.06,7.81,3.0,5.39,5.0,10.63,9.43,7.07,8.54,4.47,8.94,8.49,8.25,7.07,6.4,6.4,9.9,7.81,7.81,10.44,5.1,7.28,9.22,9.22,4.47,2.0,8.49,4.47,4.47,3.16,6.71,1.41,3.61,6.4,5.1,3.61,6.08,7.21,5.1,3.16,5.83,11.4
14,9.85,5.1,4.12,7.81,10.0,8.49,3.0,8.06,6.32,7.81,8.06,6.4,8.6,5.39,8.94,7.62,9.22,6.0,3.16,6.08,11.4,7.21,3.61,11.18,4.47,7.07,10.77,9.22,9.43,3.16,6.32,7.21,2.83,6.32,8.06,4.47,3.61,5.83,5.0,4.47,2.83,7.21,4.47,2.83,6.08,9.43
15,8.6,4.47,8.06,5.0,9.22,7.21,2.24,2.0,5.83,6.08,10.77,8.0,6.32,5.1,10.63,4.0,2.83,4.12,2.24,5.0,10.63,10.63,3.16,7.81,6.08,4.12,14.14,7.07,5.83,2.83,6.32,8.6,2.0,2.0,5.66,5.66,6.4,6.4,5.0,1.0,8.6,8.54,4.47,5.0,5.66,3.16
16,5.66,5.83,10.2,6.71,3.61,7.07,5.39,3.61,5.1,9.9,7.07,5.0,5.39,8.0,11.18,7.62,9.06,7.07,3.0,4.12,5.1,11.4,8.06,8.0,7.28,9.06,12.53,5.0,4.24,4.47,7.07,3.16,3.16,4.0,8.49,4.12,7.07,6.32,10.05,4.12,7.81,9.0,3.0,1.41,5.39,19.85
17,14.76,4.47,2.24,9.06,6.08,6.4,2.24,11.05,4.47,2.83,6.4,8.25,7.81,10.44,11.4,8.06,2.83,7.07,9.22,5.39,6.4,3.61,7.0,3.16,9.9,9.49,229.87,127.39,6.32,4.24,9.85,5.0,2.24,2.24,9.49,2.24,2.0,6.71,4.47,1.0,7.07,6.71,5.0,5.1,4.24,8.54
18,7.21,7.07,9.9,7.07,6.32,0.0,5.66,10.44,6.4,7.07,8.94,8.6,7.81,12.17,206.37,7.81,155.72,9.85,5.66,4.24,5.83,9.49,10.0,5.1,7.07,10.0,4.0,10.63,4.12,11.4,8.94,5.83,4.12,1.0,7.21,1.0,3.16,7.81,0.0,7.21,7.07,7.07,4.0,5.1,6.4,5.83
19,2.0,8.25,28.84,9.22,5.0,4.0,2.24,11.18,7.07,9.22,7.81,7.0,3.61,6.32,216.36,33.84,184.26,13.89,1.41,3.61,5.39,10.0,18.25,14.87,10.77,10.0,10.0,5.1,4.12,10.63,6.08,6.08,7.07,3.61,7.07,4.12,3.16,4.47,5.0,4.47,10.44,3.61,5.0,5.83,5.0,8.06
20,8.94,5.0,9.22,2.0,5.83,8.54,8.94,2.24,5.39,7.07,11.4,6.4,5.83,7.21,14.32,5.83,5.83,5.66,6.32,5.0,7.0,7.0,11.4,13.04,9.85,11.4,5.83,5.83,10.77,4.12,13.0,10.44,6.0,5.0,5.1,4.0,4.12,2.24,6.32,5.1,8.54,2.83,2.0,5.1,7.07,24.7
21,3.0,5.83,4.12,8.25,6.0,9.22,2.0,3.61,3.61,6.08,6.71,12.08,7.07,2.0,8.54,5.0,7.07,3.16,2.83,5.39,7.21,9.9,7.07,11.31,7.28,7.07,7.62,7.28,8.0,9.43,7.21,6.71,4.12,1.41,7.81,4.0,5.39,4.12,5.39,1.41,7.07,7.07,6.0,1.0,3.61,4.24
22,8.6,6.08,3.0,8.06,10.0,12.81,2.0,2.24,10.77,4.12,4.47,5.0,4.47,8.54,10.44,10.05,4.24,8.25,8.06,5.0,9.06,5.1,8.54,11.4,4.0,6.32,10.44,6.71,11.4,2.24,8.06,7.62,4.47,2.24,5.1,4.0,4.0,5.1,7.62,6.0,10.0,8.6,8.6,5.83,8.54,9.9
23,59.82,198.13,7.28,6.08,10.0,4.24,4.0,5.0,6.4,3.0,3.61,288.2,7.21,7.28,92.62,1.41,7.21,2.24,5.0,5.0,13.42,8.54,7.21,18.03,5.39,155.65,326.88,106.02,52.39,1.0,7.62,6.08,17.0,3.61,5.83,42.38,51.97,4.0,109.2,13.6,26.63,5.0,4.47,2.24,9.85,17.03
24,4.47,8.06,7.81,2.0,7.07,7.0,5.83,5.66,10.0,1.0,6.0,10.0,5.39,5.39,6.4,7.07,9.06,4.0,4.0,7.07,12.73,8.49,6.4,10.63,1.0,5.1,7.07,7.07,8.0,3.16,7.28,10.0,1.0,2.0,6.4,4.24,0.0,2.24,5.0,2.0,7.81,6.4,3.61,5.66,7.62,6.4
25,5.66,2.24,7.07,3.61,6.71,10.63,3.16,6.32,8.94,5.1,5.83,8.06,8.49,5.1,5.0,3.16,6.32,4.12,5.66,2.24,6.08,6.71,7.28,7.62,3.16,8.0,7.07,8.06,8.06,6.08,8.49,5.1,2.0,4.47,5.83,5.39,2.24,2.24,7.62,1.41,7.62,4.12,7.81,5.0,7.21,11.66
26,6.08,7.07,6.71,6.08,7.0,4.0,1.0,6.71,5.39,2.0,7.81,3.16,5.83,5.1,6.4,4.47,6.0,3.16,8.49,2.0,12.04,8.06,4.12,12.04,5.39,5.1,14.87,7.07,11.05,4.12,5.66,7.28,4.12,1.0,7.21,3.61,3.16,5.39,5.1,6.0,10.44,7.21,4.12,4.12,7.28,6.32
27,9.0,1.0,5.0,7.28,10.2,6.71,7.62,9.49,6.08,1.0,8.06,5.7,8.06,8.54,10.63,5.1,7.21,9.43,5.83,8.06,8.6,4.12,6.08,6.32,6.32,7.0,5.83,32.76,7.07,5.83,4.0,8.06,5.0,1.41,7.62,2.83,1.41,3.0,2.24,5.0,10.05,6.32,9.06,4.0,8.6,5.39
28,6.0,5.1,5.83,8.6,10.0,7.0,4.12,6.71,5.0,6.4,6.71,9.22,5.39,7.0,6.32,8.54,10.3,5.1,3.61,5.0,4.24,3.61,3.61,7.21,7.07,9.49,8.25,6.32,3.16,4.12,11.4,9.22,2.24,3.16,13.42,4.0,3.0,1.0,7.21,1.0,8.6,2.83,7.81,4.12,6.0,4.12
29,5.39,7.07,4.0,4.47,6.71,5.1,2.24,6.0,17.46,3.61,4.47,3.16,3.0,2.24,10.77,5.1,5.1,6.4,12.04,18.97,12.81,10.2,19.31,16.64,15.03,15.65,5.0,9.0,5.83,10.44,0.0,11.05,5.66,1.0,9.06,6.71,6.32,6.08,9.22,4.24,10.63,6.95,5.0,2.83,7.62,16.28
30,4.0,3.61,9.22,6.4,5.1,10.82,5.83,4.47,7.07,4.47,8.6,7.07,5.66,5.0,4.47,8.54,3.16,9.06,5.0,4.47,8.54,7.21,8.06,11.4,3.61,7.81,6.32,5.66,7.62,6.71,5.0,6.4,3.61,5.39,10.82,3.16,1.41,4.24,9.22,7.81,6.71,9.22,5.0,3.61,7.21,10.3
31,6.08,2.24,5.66,5.66,9.22,6.08,5.0,3.16,4.47,1.0,8.6,5.0,6.4,5.1,15.65,11.4,9.22,7.21,5.39,6.32,5.0,7.21,4.24,3.61,2.0,11.18,8.06,7.07,9.22,1.41,6.4,5.0,3.61,3.16,5.0,3.61,2.83,1.41,5.0,2.0,6.4,8.94,4.24,2.0,9.43,16.64
32,7.62,3.16,4.0,4.24,7.81,5.39,3.16,3.61,5.0,4.24,9.85,5.0,5.39,4.24,10.3,6.71,5.1,6.71,8.25,5.0,6.71,4.24,6.08,12.81,5.1,8.0,5.0,9.22,5.0,8.6,6.4,6.71,3.0,3.0,9.22,3.61,8.06,5.1,13.04,2.83,8.94,2.83,6.0,8.25,4.0,118.23
33,5.0,4.12,4.12,6.32,4.47,5.0,6.4,2.24,7.21,7.81,6.4,5.0,6.71,4.12,8.94,7.62,11.18,5.66,8.06,9.49,10.77,9.22,6.0,8.54,1.41,5.39,6.71,4.24,6.71,5.39,8.06,6.08,5.39,5.83,8.49,4.47,4.12,4.12,3.16,3.0,8.49,4.47,5.83,4.61,5.83,8.25
34,5.1,4.47,1.0,5.66,6.4,9.22,176.05,1.0,7.81,7.21,11.31,9.43,5.39,6.4,10.63,2.0,4.0,5.83,6.4,3.16,5.1,8.49,9.22,7.81,5.1,11.31,7.21,3.16,3.16,3.61,6.4,7.21,3.16,4.12,3.16,5.66,4.47,6.32,5.0,1.0,5.66,4.12,5.66,4.12,9.49,17.03
35,8.49,6.32,7.0,6.4,10.44,260.34,1.41,2.0,8.94,5.0,4.12,6.08,7.07,9.43,9.22,11.18,5.39,6.32,3.61,3.61,8.94,4.12,9.22,11.05,5.1,7.81,3.61,10.63,2.24,6.71,5.1,8.06,2.83,2.24,6.08,2.83,1.41,2.83,5.39,6.71,9.22,9.22,12.37,7.81,74.17,119.85
36,24.6,11.18,11.18,11.4,12.65,4.12,2.24,4.12,8.54,3.0,7.07,8.06,7.62,14.87,13.93,8.94,20.12,2.83,2.24,3.0,8.06,8.94,5.39,7.81,7.81,6.32,245.4,11.66,6.08,5.39,7.21,4.24,3.16,2.0,8.49,7.28,5.1,6.08,9.9,4.12,5.66,8.25,7.81,6.08,7.81,5.0
37,6.32,5.1,5.0,8.0,9.85,5.39,5.1,3.16,9.43,6.08,5.83,5.1,7.21,7.07,5.1,10.0,8.25,3.61,3.0,5.1,6.32,8.25,1.41,5.0,5.39,11.1,7.62,9.43,8.6,6.08,6.71,6.0,2.24,2.24,9.43,5.39,5.0,5.1,2.83,6.4,9.22,4.12,8.94,5.0,5.0,8.6
38,1.0,5.83,7.0,6.71,4.0,6.4,6.4,6.32,11.4,3.16,7.07,7.0,5.83,0.0,7.62,5.83,6.0,3.16,11.66,6.4,11.18,12.17,6.4,8.49,3.0,10.2,5.66,6.0,14.32,10.0,3.16,6.4,1.0,2.0,3.61,1.0,2.24,,7.28,2.83,10.0,9.06,13.04,10.0,5.39,12.81
39,8.0,2.83,8.6,10.05,6.4,2.24,1.0,2.0,6.4,7.21,5.1,5.1,3.61,5.0,10.2,9.22,8.6,9.0,6.4,4.0,8.0,7.62,4.47,8.06,6.71,5.66,7.62,6.4,5.39,2.24,5.66,6.71,3.61,5.83,8.6,3.16,6.32,,5.66,2.24,7.81,7.28,6.4,3.0,2.24,13.45
40,8.06,1.0,11.18,3.61,3.61,6.71,3.16,3.0,4.47,7.21,7.81,8.0,5.0,9.0,10.2,5.0,6.71,5.83,9.22,4.12,5.1,8.49,12.65,26.25,16.55,6.08,7.07,5.66,5.1,9.0,4.24,7.28,7.81,2.24,5.39,2.0,1.41,20.02,2.0,5.83,6.4,2.83,7.62,5.83,9.49,10.44
41,8.6,6.08,5.0,5.83,5.0,5.39,4.88,5.39,8.6,4.24,8.06,5.0,6.32,5.0,10.0,7.07,5.0,5.66,2.0,7.21,6.71,8.73,4.47,6.08,5.1,8.06,4.24,4.47,9.06,5.66,6.4,7.28,6.08,3.61,9.43,3.0,0.0,3.0,5.1,5.0,10.63,6.4,1.41,3.16,6.0,11.0
42,7.28,6.71,9.06,3.16,4.24,7.07,7.28,6.32,7.81,5.39,8.06,10.0,5.1,8.6,11.18,6.02,9.49,10.0,15.26,5.0,1.0,11.4,10.3,8.6,4.0,6.4,7.21,10.63,7.28,6.71,6.71,6.4,4.0,6.71,10.2,5.39,2.24,9.22,8.54,11.7,11.31,5.39,4.12,7.28,9.06,19.65
43,15.81,4.12,7.0,12.17,6.4,10.2,5.83,4.12,10.2,5.39,9.22,8.25,3.61,5.39,6.4,9.85,3.16,3.61,7.07,5.1,9.49,3.16,4.12,7.07,5.0,6.08,12.65,5.1,6.4,2.24,4.47,10.77,3.16,1.0,5.39,2.24,3.61,2.24,6.0,1.41,10.0,4.47,4.47,5.66,10.2,20.59
44,7.0,3.16,7.07,7.07,6.4,7.0,2.24,6.32,5.83,7.07,3.91,6.71,8.6,2.24,10.3,5.0,4.47,5.1,4.47,7.28,9.22,7.21,7.21,6.73,5.39,11.7,7.62,7.21,4.12,7.21,9.22,5.39,4.47,1.0,7.28,4.47,6.08,7.07,1.0,2.83,11.4,6.4,5.39,1.41,5.0,8.6
45,7.07,5.39,6.32,6.32,4.12,5.83,5.83,5.0,6.71,2.24,8.06,7.0,5.39,1.41,7.62,8.6,6.32,7.21,5.83,4.47,7.62,8.6,10.05,10.0,5.39,6.4,5.0,8.6,10.44,5.0,7.07,7.28,2.83,7.07,8.94,5.83,5.1,2.0,8.06,6.0,10.3,1.41,9.22,7.07,4.47,18.03
46,5.0,3.0,6.4,2.24,5.83,8.25,2.24,3.16,4.12,7.62,5.83,10.77,9.85,3.16,7.0,4.12,8.94,0.0,3.61,9.22,6.08,9.22,5.66,13.89,3.61,6.08,7.28,7.28,9.22,2.24,3.16,4.0,3.16,1.0,6.32,2.0,5.83,3.16,4.12,2.0,8.06,5.0,5.0,3.16,6.32,4.12
47,5.83,0.0,5.66,5.0,5.1,6.71,5.0,2.83,6.08,8.54,8.06,7.0,5.39,6.4,2.0,2.0,8.49,3.0,5.83,3.61,4.12,9.22,2.24,8.06,5.66,5.66,7.07,7.07,1.41,5.0,5.39,7.28,4.12,7.21,7.81,2.0,3.61,6.32,6.4,4.24,12.73,5.0,7.21,2.24,5.0,3.0
48,2.0,6.0,7.21,8.6,8.54,5.83,1.41,3.16,4.47,3.16,8.94,7.07,3.16,7.07,6.0,6.32,11.05,5.0,4.0,2.24,7.07,8.49,9.9,9.06,4.12,12.53,7.0,7.07,6.71,9.43,4.0,5.83,2.83,4.24,3.61,2.24,3.16,4.12,5.39,2.24,9.9,6.4,1.41,2.24,4.12,6.0
49,3.16,6.0,8.54,11.4,5.1,7.62,2.24,2.24,4.0,4.0,4.0,4.12,5.1,4.47,5.39,4.12,5.39,5.39,3.16,6.32,4.47,8.6,4.47,11.7,5.0,9.43,7.0,7.07,8.0,6.32,3.0,3.61,4.12,3.0,8.6,3.0,4.47,4.24,6.4,3.16,5.83,4.12,2.24,5.1,8.54,9.22
